At time 0, Job1 arrives.
At time 837, Job372 arrives.
At time 837, Job38 finishes at CPU.
At time 839, Job355 arrives.
At time 840, Job374 arrives.
At time 841, Job359 arrives.
At time 841, Job369 arrives.
At time 843, Job375 arrives.
At time 847, Job363 arrives.
At time 850, Job381 arrives.
At time 850, Job388 arrives.
At time 851, Job368 arrives.
At time 852, Job371 arrives.
At time 852, Job385 arrives.
At time 854, Job383 arrives.
At time 855, Job35 arrives at Disk.
At time 855, Job390 arrives.
At time 856, Job377 arrives.
At time 856, Job384 arrives.
At time 857, Job378 arrives.
At time 858, Job41 finishes at CPU.
At time 861, Job376 arrives.
At time 863, Job380 arrives.
At time 863, Job392 arrives.
At time 864, Job399 arrives.
At time 865, Job395 arrives.
At time 866, Job387 arrives.
At time 866, Job389 arrives.
At time 867, Job391 arrives.
At time 867, Job6 finished I/O at Disk 2.
At time 868, Job382 arrives.
At time 870, Job379 arrives.
At time 871, Job386 arrives.
At time 871, Job398 arrives.
At time 872, Job404 arrives.
At time 873, Job45 finishes at CPU.
At time 874, Job393 arrives.
At time 874, Job394 arrives.
At time 875, Job402 arrives.
At time 876, Job411 arrives.
At time 877, Job38 arrives at Disk.
At time 877, Job407 arrives.
At time 877, Job6 arrives.
At time 879, Job397 arrives.
At time 879, Job400 arrives.
At time 883, Job416 arrives.
At time 886, Job396 arrives.
At time 886, Job401 arrives.
At time 887, Job408 arrives.
At time 889, Job406 arrives.
At time 890, Job42 finishes at CPU.
At time 891, Job414 arrives.
At time 893, Job41 arrives at Disk.
At time 894, Job421 arrives.
At time 894, Job424 arrives.
At time 895, Job418 arrives.
At time 895, Job423 arrives.
At time 896, Job403 arrives.
At time 897, Job415 arrives.
At time 898, Job405 arrives.
At time 898, Job409 arrives.
At time 898, Job422 arrives.
At time 898, Job426 arrives.
At time 899, Job419 arrives.
At time 903, Job410 arrives.
At time 903, Job430 arrives.
At time 904, Job412 arrives.
At time 904, Job45 arrives at Disk.
At time 904, Job2 finished I/O at Disk 2.
At time 905, Job435 arrives.
At time 906, Job413 arrives.
At time 906, Job427 arrives.
At time 906, Job428 arrives.
At time 907, Job425 arrives.
At time 907, Job433 arrives.
At time 908, Job46 finishes at CPU.
At time 909, Job417 arrives.
At time 910, Job431 arrives.
At time 910, Job432 arrives.
At time 910, Job436 arrives.
At time 912, Job420 arrives.
At time 913, Job42 arrives at Disk.
At time 913, Job441 arrives.
At time 919, Job438 arrives.
At time 921, Job443 arrives.
At time 922, Job451 arrives.
At time 923, Job442 arrives.
At time 923, Job447 arrives.
At time 924, Job437 arrives.
At time 924, Job2 arrives.
At time 924, Job27 finished I/O at Disk 2.
At time 925, Job429 arrives.
At time 925, Job434 arrives.
At time 925, Job456 arrives.
At time 926, Job439 arrives.
At time 926, Job440 arrives.
At time 926, Job445 arrives.
At time 926, Job44 finishes at CPU.
At time 926, Job44 exits.
At time 927, Job444 arrives.
At time 927, Job455 arrives.
At time 929, Job450 arrives.
At time 933, Job446 arrives.
At time 934, Job452 arrives.
At time 934, Job457 arrives.
At time 934, Job458 arrives.
At time 935, Job459 arrives.
At time 936, Job448 arrives.
At time 938, Job472 arrives.
At time 939, Job46 arrives at Disk.
At time 939, Job470 arrives.
At time 940, Job27 arrives.
At time 940, Job468 arrives.
At time 940, Job49 finishes at CPU.
At time 940, Job49 exits.
At time 941, Job473 arrives.
At time 942, Job449 arrives.
At time 942, Job461 arrives.
At time 943, Job460 arrives.
At time 943, Job466 arrives.
At time 943, Job471 arrives.
At time 945, Job453 arrives.
At time 945, Job454 arrives.
At time 948, Job467 arrives.
At time 949, Job30 finished I/O at Disk 2.
At time 950, Job481 arrives.
At time 951, Job475 arrives.
At time 952, Job462 arrives.
At time 952, Job480 arrives.
At time 953, Job477 arrives.
At time 954, Job463 arrives.
At time 955, Job482 arrives.
At time 955, Job491 arrives.
At time 957, Job469 arrives.
At time 957, Job47 finishes at CPU.
At time 957, Job47 exits.
At time 958, Job465 arrives.
At time 959, Job464 arrives.
At time 961, Job484 arrives.
At time 961, Job488 arrives.
At time 962, Job474 arrives.
At time 962, Job493 arrives.
At time 965, Job478 arrives.
At time 965, Job489 arrives.
At time 967, Job30 arrives.
At time 967, Job494 arrives.
At time 969, Job486 arrives.
At time 969, Job48 finishes at CPU.
At time 971, Job479 arrives.
At time 971, Job495 arrives.
At time 973, Job476 arrives.
At time 973, Job485 arrives.
At time 974, Job487 arrives.
At time 974, Job501 arrives.
At time 976, Job492 arrives.
At time 976, Job496 arrives.
At time 976, Job497 arrives.
At time 976, Job504 arrives.
At time 976, Job507 arrives.
At time 977, Job503 arrives.
At time 979, Job483 arrives.
At time 979, Job499 arrives.
At time 980, Job500 arrives.
At time 981, Job490 arrives.
At time 981, Job502 arrives.
At time 982, Job498 arrives.
At time 984, Job43 finishes at CPU.
At time 984, Job43 exits.
At time 987, Job505 arrives.
At time 987, Job515 arrives.
At time 987, Job523 arrives.
At time 990, Job513 arrives.
At time 991, Job510 arrives.
At time 991, Job516 arrives.
At time 992, Job524 arrives.
At time 994, Job48 arrives at Disk.
At time 994, Job518 arrives.
At time 995, Job506 arrives.
At time 996, Job509 arrives.
At time 996, Job517 arrives.
